location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Indpls-W.18th St,Indianapolis,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,pm25,9.5,µg/m³,39.7889,-86.2147,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Indpls-Washington Pa,Indianapolis,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,co,0.17,ppm,39.8108,-86.1147,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Indpls-Washington Pa,Indianapolis,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,bc,1.22,µg/m³,39.8108,-86.1147,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Indpls- Illinois St,Indianapolis,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,co,0.23,ppm,39.768056,-86.16,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Anderson-Eastside El,Anderson,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,pm25,8.7,µg/m³,40.125557,-85.652222,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Gary-IITRI,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm10,15,µg/m³,41.6067,-87.3047,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Gary-IITRI,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,bc,0.77,µg/m³,41.6067,-87.3047,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
East Chicago Post Of,Chicago-Naperville-Joliet,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,co,0.25,ppm,41.628611,-87.461389,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Elkhart-Prairie St.,Elkhart-Goshen,US,2018-11-15T05:00:00.000Z,2018-11-15T00:00:00-05:00,bc,4.29,µg/m³,41.656944,-85.96833,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Indiana Dept. of Environmental Management 2""}]"
Springfield Ag,SANGAMON,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,17.9,µg/m³,39.831921,-89.644164,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
HOUSTON,RANDOLPH,US,2018-11-15T05:00:00.000Z,2018-11-14T23:00:00-06:00,pm25,11.5,µg/m³,38.1761,-89.7883,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""Illinois EPA""}]"
